doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
bn/cnn/00/cnn_0089_0,0,8,14,-1,-1,-1,2
bn/cnn/00/cnn_0089_0,1,14,14,-1,-1,-1,1
bn/cnn/00/cnn_0089_0,2,22,25,-1,-1,-1,3
bn/cnn/00/cnn_0089_0,3,38,38,2,22,25,3
bn/cnn/00/cnn_0089_0,4,41,47,-1,-1,-1,4
bn/cnn/00/cnn_0089_0,5,49,50,3,38,38,3
bn/cnn/00/cnn_0089_0,6,60,60,5,49,50,3
bn/cnn/00/cnn_0089_0,7,64,68,-1,-1,-1,5
bn/cnn/00/cnn_0089_0,8,70,70,7,64,68,5
bn/cnn/00/cnn_0089_0,9,77,77,6,60,60,3
bn/cnn/00/cnn_0089_0,10,80,82,4,41,47,4
bn/cnn/00/cnn_0089_0,11,92,92,8,70,70,5
bn/cnn/00/cnn_0089_0,12,94,97,9,77,77,3
bn/cnn/00/cnn_0089_0,13,106,107,-1,-1,-1,6
bn/cnn/00/cnn_0089_0,14,112,112,1,14,14,1
bn/cnn/00/cnn_0089_0,15,121,132,0,8,14,2
bn/cnn/00/cnn_0089_0,16,149,150,13,106,107,6
