doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
bn/voa/00/voa_0039_0,0,1,2,-1,-1,-1,1
bn/voa/00/voa_0039_0,1,5,19,-1,-1,-1,3
bn/voa/00/voa_0039_0,2,9,19,-1,-1,-1,2
bn/voa/00/voa_0039_0,3,12,19,-1,-1,-1,4
bn/voa/00/voa_0039_0,4,27,29,0,1,2,1
bn/voa/00/voa_0039_0,5,31,38,1,5,19,3
bn/voa/00/voa_0039_0,6,40,50,-1,-1,-1,5
bn/voa/00/voa_0039_0,7,44,50,3,12,19,4
bn/voa/00/voa_0039_0,8,49,50,2,9,19,2
bn/voa/00/voa_0039_0,9,56,59,6,40,50,5
bn/voa/00/voa_0039_0,10,61,61,-1,-1,-1,6
bn/voa/00/voa_0039_0,11,63,63,9,56,59,5
bn/voa/00/voa_0039_0,12,71,71,10,61,61,6
bn/voa/00/voa_0039_0,13,74,74,11,63,63,5
bn/voa/00/voa_0039_0,14,85,85,-1,-1,-1,7
bn/voa/00/voa_0039_0,15,86,90,-1,-1,-1,8
bn/voa/00/voa_0039_0,16,98,99,-1,-1,-1,9
bn/voa/00/voa_0039_0,17,101,103,15,86,90,8
bn/voa/00/voa_0039_0,18,107,107,-1,-1,-1,10
bn/voa/00/voa_0039_0,19,112,113,7,44,50,4
bn/voa/00/voa_0039_0,20,122,123,19,112,113,4
bn/voa/00/voa_0039_0,21,132,132,17,101,103,8
bn/voa/00/voa_0039_0,22,132,133,18,107,107,10
bn/voa/00/voa_0039_0,23,144,145,16,98,99,9
bn/voa/00/voa_0039_0,24,147,149,14,85,85,7
