doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
bc/cctv/00/cctv_0005_14,0,7,8,-1,-1,-1,1
bc/cctv/00/cctv_0005_14,1,12,12,0,7,8,1
bc/cctv/00/cctv_0005_14,2,39,39,1,12,12,1
bc/cctv/00/cctv_0005_14,3,52,52,2,39,39,1
bc/cctv/00/cctv_0005_14,4,60,60,-1,-1,-1,2
bc/cctv/00/cctv_0005_14,5,67,67,4,60,60,2
bc/cctv/00/cctv_0005_14,6,96,103,-1,-1,-1,3
bc/cctv/00/cctv_0005_14,7,109,109,6,96,103,3
bc/cctv/00/cctv_0005_14,8,124,124,7,109,109,3
bc/cctv/00/cctv_0005_14,9,188,190,-1,-1,-1,4
bc/cctv/00/cctv_0005_14,10,193,193,9,188,190,4
bc/cctv/00/cctv_0005_14,11,213,213,3,52,52,1
bc/cctv/00/cctv_0005_14,12,231,231,11,213,213,1
bc/cctv/00/cctv_0005_14,13,391,391,12,231,231,1
