doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
mz/sinorama/10/ectb_1039_2,0,6,16,-1,-1,-1,1
mz/sinorama/10/ectb_1039_2,1,32,33,-1,-1,-1,2
mz/sinorama/10/ectb_1039_2,2,42,42,0,6,16,1
mz/sinorama/10/ectb_1039_2,3,46,53,-1,-1,-1,3
mz/sinorama/10/ectb_1039_2,4,68,69,-1,-1,-1,4
mz/sinorama/10/ectb_1039_2,5,72,72,4,68,69,4
mz/sinorama/10/ectb_1039_2,6,77,77,2,42,42,1
mz/sinorama/10/ectb_1039_2,7,81,83,3,46,53,3
mz/sinorama/10/ectb_1039_2,8,91,91,-1,-1,-1,5
mz/sinorama/10/ectb_1039_2,9,97,97,8,91,91,5
mz/sinorama/10/ectb_1039_2,10,103,103,9,97,97,5
mz/sinorama/10/ectb_1039_2,11,106,106,10,103,103,5
mz/sinorama/10/ectb_1039_2,12,124,129,-1,-1,-1,6
mz/sinorama/10/ectb_1039_2,13,146,153,6,77,77,1
mz/sinorama/10/ectb_1039_2,14,159,162,1,32,33,2
mz/sinorama/10/ectb_1039_2,15,183,184,7,81,83,3
mz/sinorama/10/ectb_1039_2,16,188,188,13,146,153,1
mz/sinorama/10/ectb_1039_2,17,198,198,16,188,188,1
mz/sinorama/10/ectb_1039_2,18,198,206,-1,-1,-1,7
mz/sinorama/10/ectb_1039_2,19,211,212,15,183,184,3
mz/sinorama/10/ectb_1039_2,20,214,214,19,211,212,3
mz/sinorama/10/ectb_1039_2,21,218,219,18,198,206,7
mz/sinorama/10/ectb_1039_2,22,224,229,12,124,129,6
mz/sinorama/10/ectb_1039_2,23,236,237,14,159,162,2
mz/sinorama/10/ectb_1039_2,24,243,243,11,106,106,5
mz/sinorama/10/ectb_1039_2,25,253,253,21,218,219,7
mz/sinorama/10/ectb_1039_2,26,275,276,23,236,237,2
