doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
nw/wsj/23/wsj_2324_0,0,1,5,-1,-1,-1,1
nw/wsj/23/wsj_2324_0,1,10,10,0,1,5,1
nw/wsj/23/wsj_2324_0,2,13,17,-1,-1,-1,2
nw/wsj/23/wsj_2324_0,3,47,49,1,10,10,1
nw/wsj/23/wsj_2324_0,4,100,101,2,13,17,2
nw/wsj/23/wsj_2324_0,5,103,107,-1,-1,-1,3
nw/wsj/23/wsj_2324_0,6,106,107,5,103,107,3
nw/wsj/23/wsj_2324_0,7,109,113,-1,-1,-1,4
nw/wsj/23/wsj_2324_0,8,117,119,3,47,49,1
nw/wsj/23/wsj_2324_0,9,129,133,7,109,113,4
