doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
nw/wsj/23/wsj_2357_0,0,1,9,-1,-1,-1,2
nw/wsj/23/wsj_2357_0,1,4,7,-1,-1,-1,1
nw/wsj/23/wsj_2357_0,2,11,11,0,1,9,2
nw/wsj/23/wsj_2357_0,3,12,12,-1,-1,-1,3
nw/wsj/23/wsj_2357_0,4,13,31,-1,-1,-1,5
nw/wsj/23/wsj_2357_0,5,17,26,-1,-1,-1,4
nw/wsj/23/wsj_2357_0,6,29,31,1,4,7,1
nw/wsj/23/wsj_2357_0,7,46,48,2,11,11,2
nw/wsj/23/wsj_2357_0,8,50,53,5,17,26,4
nw/wsj/23/wsj_2357_0,9,78,81,6,29,31,1
nw/wsj/23/wsj_2357_0,10,94,108,9,78,81,1
nw/wsj/23/wsj_2357_0,11,105,108,-1,-1,-1,6
nw/wsj/23/wsj_2357_0,12,110,112,11,105,108,6
nw/wsj/23/wsj_2357_0,13,119,122,8,50,53,4
nw/wsj/23/wsj_2357_0,14,139,142,10,94,108,1
nw/wsj/23/wsj_2357_0,15,150,153,13,119,122,4
nw/wsj/23/wsj_2357_0,16,157,159,7,46,48,2
nw/wsj/23/wsj_2357_0,17,161,190,3,12,12,3
nw/wsj/23/wsj_2357_0,18,164,190,4,13,31,5
nw/wsj/23/wsj_2357_0,19,185,190,-1,-1,-1,7
nw/wsj/23/wsj_2357_0,20,186,187,14,139,142,1
nw/wsj/23/wsj_2357_0,21,194,222,16,157,159,2
nw/wsj/23/wsj_2357_0,22,227,227,21,194,222,2
nw/wsj/23/wsj_2357_0,23,231,241,-1,-1,-1,8
nw/wsj/23/wsj_2357_0,24,234,237,20,186,187,1
nw/wsj/23/wsj_2357_0,25,239,241,15,150,153,4
nw/wsj/23/wsj_2357_0,26,246,246,22,227,227,2
nw/wsj/23/wsj_2357_0,27,249,249,23,231,241,8
nw/wsj/23/wsj_2357_0,28,262,263,24,234,237,1
nw/wsj/23/wsj_2357_0,29,268,268,26,246,246,2
nw/wsj/23/wsj_2357_0,30,274,276,25,239,241,4
nw/wsj/23/wsj_2357_0,31,280,285,28,262,263,1
nw/wsj/23/wsj_2357_0,32,287,292,19,185,190,7
nw/wsj/23/wsj_2357_0,33,288,289,31,280,285,1
nw/wsj/23/wsj_2357_0,34,296,297,29,268,268,2
nw/wsj/23/wsj_2357_0,35,299,299,34,296,297,2
nw/wsj/23/wsj_2357_0,36,307,308,-1,-1,-1,9
nw/wsj/23/wsj_2357_0,37,324,327,36,307,308,9
nw/wsj/23/wsj_2357_0,38,342,344,12,110,112,6
nw/wsj/23/wsj_2357_0,39,350,350,38,342,344,6
nw/wsj/23/wsj_2357_0,40,356,359,-1,-1,-1,10
nw/wsj/23/wsj_2357_0,41,374,374,40,356,359,10
