doc_key, span_idx, span_start, span_end, antecedent_rank, antecedent_score, antecedent_idx, antecedent_start, antecedent_end
bn/pri/00/pri_0089_0, 9, 13, 14, 1, 46.54863739013672, 3, 3, 6
bn/pri/00/pri_0089_0, 9, 13, 14, 2, 6.211972236633301, 4, 3, 11
bn/pri/00/pri_0089_0, 12, 16, 16, 1, 28.71013641357422, 0, 1, 1
bn/pri/00/pri_0089_0, 17, 20, 20, 1, 53.46181869506836, 12, 16, 16
bn/pri/00/pri_0089_0, 17, 20, 20, 2, 52.21112823486328, 0, 1, 1
bn/pri/00/pri_0089_0, 26, 46, 48, 1, 35.285560607910156, 0, 1, 1
bn/pri/00/pri_0089_0, 26, 46, 48, 2, 19.263629913330078, 17, 20, 20
bn/pri/00/pri_0089_0, 26, 46, 48, 3, 11.861650466918945, 12, 16, 16
bn/pri/00/pri_0089_0, 28, 49, 49, 1, 21.024417877197266, 5, 7, 7
bn/pri/00/pri_0089_0, 28, 49, 49, 2, 5.181235313415527, 6, 7, 11
bn/pri/00/pri_0089_0, 33, 65, 71, 1, 25.69304656982422, 17, 20, 20
bn/pri/00/pri_0089_0, 33, 65, 71, 2, 21.41851806640625, 0, 1, 1
bn/pri/00/pri_0089_0, 33, 65, 71, 3, 14.192761421203613, 12, 16, 16
bn/pri/00/pri_0089_0, 34, 73, 75, 1, 46.47938537597656, 0, 1, 1
bn/pri/00/pri_0089_0, 34, 73, 75, 2, 34.27642059326172, 17, 20, 20
bn/pri/00/pri_0089_0, 34, 73, 75, 3, 21.51422119140625, 12, 16, 16
bn/pri/00/pri_0089_0, 34, 73, 75, 4, 21.372108459472656, 26, 46, 48
bn/pri/00/pri_0089_0, 34, 73, 75, 5, 11.924094200134277, 33, 65, 71
bn/pri/00/pri_0089_0, 40, 89, 90, 1, 22.492713928222656, 32, 65, 68
bn/pri/00/pri_0089_0, 41, 93, 94, 1, 58.54630661010742, 9, 13, 14
bn/pri/00/pri_0089_0, 41, 93, 94, 2, 41.684844970703125, 3, 3, 6
bn/pri/00/pri_0089_0, 44, 104, 107, 1, 44.18431091308594, 29, 51, 54
bn/pri/00/pri_0089_0, 46, 108, 109, 1, 7.378359317779541, 39, 80, 83
bn/pri/00/pri_0089_0, 46, 108, 109, 2, 5.248807907104492, 35, 73, 76
bn/pri/00/pri_0089_0, 50, 116, 118, 1, 51.25330352783203, 41, 93, 94
bn/pri/00/pri_0089_0, 50, 116, 118, 2, 50.67534637451172, 9, 13, 14
bn/pri/00/pri_0089_0, 50, 116, 118, 3, 35.36906051635742, 3, 3, 6
bn/pri/00/pri_0089_0, 63, 149, 149, 1, 57.13334274291992, 50, 116, 118
bn/pri/00/pri_0089_0, 63, 149, 149, 2, 52.598331451416016, 41, 93, 94
bn/pri/00/pri_0089_0, 63, 149, 149, 3, 50.737003326416016, 9, 13, 14
bn/pri/00/pri_0089_0, 63, 149, 149, 4, 22.713258743286133, 3, 3, 6
bn/pri/00/pri_0089_0, 64, 152, 152, 1, 44.36130142211914, 34, 73, 75
bn/pri/00/pri_0089_0, 64, 152, 152, 2, 41.9367790222168, 17, 20, 20
bn/pri/00/pri_0089_0, 64, 152, 152, 3, 40.58218765258789, 0, 1, 1
bn/pri/00/pri_0089_0, 64, 152, 152, 4, 23.48617172241211, 12, 16, 16
bn/pri/00/pri_0089_0, 64, 152, 152, 5, 23.360036849975586, 26, 46, 48
bn/pri/00/pri_0089_0, 71, 174, 177, 1, 58.255035400390625, 21, 33, 39
bn/pri/00/pri_0089_0, 71, 174, 177, 2, 4.719932556152344, 20, 33, 35
bn/pri/00/pri_0089_0, 72, 179, 180, 1, 68.81549072265625, 20, 33, 35
bn/pri/00/pri_0089_0, 73, 182, 182, 1, 38.59150695800781, 25, 42, 44
bn/pri/00/pri_0089_0, 73, 182, 182, 2, 2.7933197021484375, 12, 16, 16
