doc_key, span_idx, span_start, span_end, antecedent_rank, antecedent_score, antecedent_idx, antecedent_start, antecedent_end
tc/ch/00/ch_0029_0, 15, 38, 38, 1, 3.25756573677063, 12, 26, 28
tc/ch/00/ch_0029_0, 25, 54, 54, 1, 26.070236206054688, 18, 40, 40
tc/ch/00/ch_0029_0, 27, 56, 56, 1, 29.39201545715332, 25, 54, 54
tc/ch/00/ch_0029_0, 27, 56, 56, 2, 27.80852699279785, 18, 40, 40
tc/ch/00/ch_0029_0, 29, 60, 60, 1, 22.212820053100586, 25, 54, 54
tc/ch/00/ch_0029_0, 29, 60, 60, 2, 19.60441017150879, 18, 40, 40
tc/ch/00/ch_0029_0, 29, 60, 60, 3, 17.503591537475586, 27, 56, 56
tc/ch/00/ch_0029_0, 31, 66, 66, 1, 21.039125442504883, 29, 60, 60
tc/ch/00/ch_0029_0, 31, 66, 66, 2, 20.168323516845703, 25, 54, 54
tc/ch/00/ch_0029_0, 31, 66, 66, 3, 17.168031692504883, 18, 40, 40
tc/ch/00/ch_0029_0, 31, 66, 66, 4, 15.540233612060547, 27, 56, 56
tc/ch/00/ch_0029_0, 33, 83, 83, 1, 11.298662185668945, 22, 42, 42
tc/ch/00/ch_0029_0, 37, 92, 92, 1, 23.778526306152344, 25, 54, 54
tc/ch/00/ch_0029_0, 37, 92, 92, 2, 22.850566864013672, 27, 56, 56
tc/ch/00/ch_0029_0, 37, 92, 92, 3, 22.714487075805664, 18, 40, 40
tc/ch/00/ch_0029_0, 37, 92, 92, 4, 21.86650848388672, 29, 60, 60
tc/ch/00/ch_0029_0, 37, 92, 92, 5, 21.098094940185547, 31, 66, 66
tc/ch/00/ch_0029_0, 38, 92, 93, 1, 29.96993637084961, 28, 56, 57
tc/ch/00/ch_0029_0, 40, 99, 99, 1, 23.128528594970703, 35, 89, 89
tc/ch/00/ch_0029_0, 41, 101, 101, 1, 34.920223236083984, 38, 92, 93
tc/ch/00/ch_0029_0, 41, 101, 101, 2, 21.30355453491211, 28, 56, 57
tc/ch/00/ch_0029_0, 42, 102, 102, 1, 22.65026092529297, 40, 99, 99
tc/ch/00/ch_0029_0, 42, 102, 102, 2, 20.73296546936035, 35, 89, 89
tc/ch/00/ch_0029_0, 43, 105, 105, 1, 27.363510131835938, 42, 102, 102
tc/ch/00/ch_0029_0, 43, 105, 105, 2, 23.721620559692383, 40, 99, 99
tc/ch/00/ch_0029_0, 43, 105, 105, 3, 21.2263240814209, 35, 89, 89
tc/ch/00/ch_0029_0, 50, 122, 122, 1, 24.282154083251953, 43, 105, 105
tc/ch/00/ch_0029_0, 50, 122, 122, 2, 22.233802795410156, 42, 102, 102
tc/ch/00/ch_0029_0, 50, 122, 122, 3, 21.09958267211914, 35, 89, 89
tc/ch/00/ch_0029_0, 50, 122, 122, 4, 20.200300216674805, 40, 99, 99
tc/ch/00/ch_0029_0, 53, 130, 130, 1, 30.919525146484375, 50, 122, 122
tc/ch/00/ch_0029_0, 53, 130, 130, 2, 17.973155975341797, 43, 105, 105
tc/ch/00/ch_0029_0, 53, 130, 130, 3, 15.740216255187988, 40, 99, 99
tc/ch/00/ch_0029_0, 53, 130, 130, 4, 15.448803901672363, 42, 102, 102
tc/ch/00/ch_0029_0, 53, 130, 130, 5, 14.28287124633789, 35, 89, 89
tc/ch/00/ch_0029_0, 55, 140, 140, 1, 29.99872398376465, 41, 101, 101
tc/ch/00/ch_0029_0, 55, 140, 140, 2, 22.260211944580078, 38, 92, 93
tc/ch/00/ch_0029_0, 55, 140, 140, 3, 13.571961402893066, 28, 56, 57
tc/ch/00/ch_0029_0, 57, 145, 145, 1, 21.18073081970215, 18, 40, 40
