doc_key,anaphor_idx,anaphor_start,anaphor_end,antecedent_idx,antecedent_start,antecedent_end,cluster_id
tc/ch/00/ch_0009_3,0,3,3,-1,-1,-1,1
tc/ch/00/ch_0009_3,1,5,5,-1,-1,-1,2
tc/ch/00/ch_0009_3,2,5,7,-1,-1,-1,4
tc/ch/00/ch_0009_3,3,7,7,-1,-1,-1,3
tc/ch/00/ch_0009_3,4,17,17,2,5,7,4
tc/ch/00/ch_0009_3,5,26,26,4,17,17,4
tc/ch/00/ch_0009_3,6,31,31,1,5,5,2
tc/ch/00/ch_0009_3,7,35,36,-1,-1,-1,5
tc/ch/00/ch_0009_3,8,41,47,-1,-1,-1,6
tc/ch/00/ch_0009_3,9,53,70,8,41,47,6
tc/ch/00/ch_0009_3,10,59,59,3,7,7,3
tc/ch/00/ch_0009_3,11,76,76,10,59,59,3
tc/ch/00/ch_0009_3,12,78,83,-1,-1,-1,7
tc/ch/00/ch_0009_3,13,81,83,-1,-1,-1,8
tc/ch/00/ch_0009_3,14,85,85,11,76,76,3
tc/ch/00/ch_0009_3,15,90,91,7,35,36,5
tc/ch/00/ch_0009_3,16,94,94,12,78,83,7
tc/ch/00/ch_0009_3,17,102,102,14,85,85,3
tc/ch/00/ch_0009_3,18,104,104,13,81,83,8
tc/ch/00/ch_0009_3,19,106,106,17,102,102,3
tc/ch/00/ch_0009_3,20,110,110,19,106,106,3
tc/ch/00/ch_0009_3,21,124,124,20,110,110,3
tc/ch/00/ch_0009_3,22,140,140,21,124,124,3
tc/ch/00/ch_0009_3,23,146,146,22,140,140,3
tc/ch/00/ch_0009_3,24,150,151,-1,-1,-1,9
tc/ch/00/ch_0009_3,25,158,158,-1,-1,-1,10
tc/ch/00/ch_0009_3,26,162,162,23,146,146,3
tc/ch/00/ch_0009_3,27,166,166,24,150,151,9
tc/ch/00/ch_0009_3,28,168,168,26,162,162,3
tc/ch/00/ch_0009_3,29,174,174,28,168,168,3
tc/ch/00/ch_0009_3,30,178,178,27,166,166,9
tc/ch/00/ch_0009_3,31,197,197,0,3,3,1
tc/ch/00/ch_0009_3,32,205,223,-1,-1,-1,11
tc/ch/00/ch_0009_3,33,207,207,5,26,26,4
tc/ch/00/ch_0009_3,34,227,227,32,205,223,11
tc/ch/00/ch_0009_3,35,236,236,6,31,31,2
tc/ch/00/ch_0009_3,36,244,244,34,227,227,11
tc/ch/00/ch_0009_3,37,248,250,35,236,236,2
tc/ch/00/ch_0009_3,38,260,260,-1,-1,-1,12
tc/ch/00/ch_0009_3,39,260,262,-1,-1,-1,13
tc/ch/00/ch_0009_3,40,264,264,31,197,197,1
tc/ch/00/ch_0009_3,41,265,268,-1,-1,-1,14
tc/ch/00/ch_0009_3,42,268,268,39,260,262,13
tc/ch/00/ch_0009_3,43,270,270,36,244,244,11
tc/ch/00/ch_0009_3,44,272,274,38,260,260,12
tc/ch/00/ch_0009_3,45,277,277,43,270,270,11
tc/ch/00/ch_0009_3,46,281,281,44,272,274,12
tc/ch/00/ch_0009_3,47,293,293,45,277,277,11
tc/ch/00/ch_0009_3,48,300,301,41,265,268,14
tc/ch/00/ch_0009_3,49,303,303,47,293,293,11
tc/ch/00/ch_0009_3,50,320,320,37,248,250,2
tc/ch/00/ch_0009_3,51,320,322,33,207,207,4
tc/ch/00/ch_0009_3,52,322,322,29,174,174,3
tc/ch/00/ch_0009_3,53,334,334,51,320,322,4
tc/ch/00/ch_0009_3,54,349,349,50,320,320,2
tc/ch/00/ch_0009_3,55,351,353,-1,-1,-1,15
tc/ch/00/ch_0009_3,56,359,359,54,349,349,2
tc/ch/00/ch_0009_3,57,368,368,-1,-1,-1,16
tc/ch/00/ch_0009_3,58,371,371,55,351,353,15
tc/ch/00/ch_0009_3,59,389,389,58,371,371,15
tc/ch/00/ch_0009_3,60,392,395,-1,-1,-1,17
tc/ch/00/ch_0009_3,61,397,397,25,158,158,10
tc/ch/00/ch_0009_3,62,406,406,61,397,397,10
tc/ch/00/ch_0009_3,63,416,428,-1,-1,-1,18
tc/ch/00/ch_0009_3,64,425,428,60,392,395,17
tc/ch/00/ch_0009_3,65,429,429,62,406,406,10
tc/ch/00/ch_0009_3,66,442,442,56,359,359,2
tc/ch/00/ch_0009_3,67,446,446,-1,-1,-1,19
tc/ch/00/ch_0009_3,68,449,449,67,446,446,19
tc/ch/00/ch_0009_3,69,451,451,53,334,334,4
tc/ch/00/ch_0009_3,70,458,458,66,442,442,2
tc/ch/00/ch_0009_3,71,464,464,70,458,458,2
tc/ch/00/ch_0009_3,72,472,472,71,464,464,2
tc/ch/00/ch_0009_3,73,480,480,65,429,429,10
tc/ch/00/ch_0009_3,74,480,482,63,416,428,18
tc/ch/00/ch_0009_3,75,486,487,-1,-1,-1,20
tc/ch/00/ch_0009_3,76,505,505,74,480,482,18
tc/ch/00/ch_0009_3,77,512,512,75,486,487,20
tc/ch/00/ch_0009_3,78,548,548,73,480,480,10
