doc_key,span_idx,span_start,span_end,antecedent_rank,antecedent_score,antecedent_idx,antecedent_start,antecedent_end
wb/c2e/00/c2e_0029_0,11,29,31,1,11.60836410522461,8,25,25
wb/c2e/00/c2e_0029_0,12,32,48,1,11.746990203857422,11,29,31
wb/c2e/00/c2e_0029_0,12,32,48,2,2.2260990142822266,8,25,25
wb/c2e/00/c2e_0029_0,12,32,48,3,1.5253772735595703,10,25,28
wb/c2e/00/c2e_0029_0,19,56,77,1,1.3521082401275635,0,1,22
wb/c2e/00/c2e_0029_0,23,64,77,1,11.796119689941406,4,9,22
wb/c2e/00/c2e_0029_0,25,80,80,1,17.98198699951172,11,29,31
wb/c2e/00/c2e_0029_0,25,80,80,2,4.031510829925537,12,32,48
wb/c2e/00/c2e_0029_0,25,80,80,3,1.8833341598510742,10,25,28
wb/c2e/00/c2e_0029_0,38,111,111,1,29.71695899963379,11,29,31
wb/c2e/00/c2e_0029_0,38,111,111,2,24.977209091186523,25,80,80
wb/c2e/00/c2e_0029_0,38,111,111,3,11.487653732299805,10,25,28
wb/c2e/00/c2e_0029_0,38,111,111,4,9.798978805541992,12,32,48
wb/c2e/00/c2e_0029_0,38,111,111,5,8.922971725463867,8,25,25
wb/c2e/00/c2e_0029_0,42,125,137,1,7.9357523918151855,23,64,77
wb/c2e/00/c2e_0029_0,42,125,137,2,5.24977970123291,4,9,22
wb/c2e/00/c2e_0029_0,43,139,139,1,32.3978271484375,42,125,137
wb/c2e/00/c2e_0029_0,44,142,142,1,44.28704071044922,38,111,111
wb/c2e/00/c2e_0029_0,44,142,142,2,30.38849639892578,25,80,80
wb/c2e/00/c2e_0029_0,44,142,142,3,26.679737091064453,11,29,31
wb/c2e/00/c2e_0029_0,44,142,142,4,8.999235153198242,12,32,48
wb/c2e/00/c2e_0029_0,44,142,142,5,6.754251480102539,8,25,25
wb/c2e/00/c2e_0029_0,46,146,146,1,42.83177947998047,38,111,111
wb/c2e/00/c2e_0029_0,46,146,146,2,37.03076171875,44,142,142
wb/c2e/00/c2e_0029_0,46,146,146,3,30.125,11,29,31
wb/c2e/00/c2e_0029_0,46,146,146,4,28.082971572875977,25,80,80
wb/c2e/00/c2e_0029_0,46,146,146,5,10.397541999816895,12,32,48
wb/c2e/00/c2e_0029_0,52,167,167,1,43.257816314697266,46,146,146
wb/c2e/00/c2e_0029_0,52,167,167,2,37.787864685058594,38,111,111
